name	x	y	z	size
C3	n/a	n/a	n/a	n/a
C4	n/a	n/a	n/a	n/a
CZ	n/a	n/a	n/a	n/a
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LA01	-14.718	-10.319	-18.90311435	n/a
LA02	-20.3982	-12.582	-19.21316456	n/a
LA03	-25.4111	-13.7812	-19.70005908	n/a
LA04	-30.9221	-15.5087	-20.79052575	n/a
LA05	-37.6429	-18.7223	-21.76997505	n/a
LA06	-41.5472	-21.3503	-21.98475493	n/a
LA07	-44.5173	-23.1483	-20.1290217	n/a
LA08	-48.4352	-24.5848	-18.53141876	n/a
LA09	-51.9412	-25.6896	-17.8144088	n/a
LA10	-59.4918	-26.9617	-18.33899742	n/a
LA11	-65.3188	-28.9117	-18.18537963	n/a
LA12	-70.9458	-31.8467	-14.08481119	n/a
LB01	-14.6627	-17.3652	-17.4206605	n/a
LB02	-21.0477	-19.7358	-18.27688282	n/a
LB03	-24.9015	-21.0146	-18.41469846	n/a
LB04	-29.2459	-22.3632	-20.46888121	n/a
LB05	-34.0313	-25.2173	-21.87761182	n/a
LB06	-38.3361	-27.4894	-22.34196844	n/a
LB07	-42.7807	-30.3368	-20.84401996	n/a
LB08	-47.532	-31.0458	-22.58327357	n/a
LB09	-52.806	-32.3752	-23.44881913	n/a
LB10	-58.7817	-33.3685	-23.75129507	n/a
LB11	-65.564	-35.1788	-22.28801764	n/a
LB12	-71.0098	-37.0682	-20.24204439	n/a
LC01	-28.8913	44.6174	15.5978454	n/a
LC02	-32.3607	44.9423	19.38966745	n/a
LC03	-34.2186	44.9861	23.26911771	n/a
LC04	-37.2582	44.974	27.20662154	n/a
LC05	-41.7966	45.4199	31.15326493	n/a
LC06	-46.7668	45.4536	33.85073481	n/a
LC07	-50.9619	45.8512	36.80774245	n/a
LC08	-55.1671	46.5746	40.17704874	n/a
LD01	-22.6228	37.6532	26.09977661	n/a
LD02	-24.4698	38.4758	30.87075169	n/a
LD03	-28.8114	38.3336	35.90024382	n/a
LD04	-33.6385	36.3056	40.88051306	n/a
LD05	-39.6198	37.1401	43.57793979	n/a
LD06	-43.3324	37.3058	45.8983108	n/a
LD07	-47.1059	37.8321	49.13960356	n/a
LD08	-50.888	37.5023	53.55768445	n/a
LE01	-26.2765	48.4716	12.60375574	n/a
LE02	-28.432	49.7526	17.07936833	n/a
LE03	-30.606	50.575	20.9734151	n/a
LE04	-30.2598	50.4845	27.09093969	n/a
LE05	-31.7374	51.0304	32.73879497	n/a
LE06	-33.0789	51.3028	38.23424439	n/a
LE07	-35.0455	50.7128	44.33418085	n/a
LE08	-36.5371	50.212	50.07186284	n/a
LF01	-38.4311	38.5509	12.56339522	n/a
LF02	-41.3055	38.336	16.18193221	n/a
LF03	-44.7317	37.9481	19.47458131	n/a
LF04	-48.4137	37.2628	22.29574337	n/a
LF05	-52.4353	37.9722	24.37414344	n/a
