name	x	y	z	size
C3	n/a	n/a	n/a	n/a
C4	n/a	n/a	n/a	n/a
CZ	n/a	n/a	n/a	n/a
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
FZ	n/a	n/a	n/a	n/a
LA01	-16.37	-2.31509	-20.7065669	n/a
LA02	-21.1222	-2.69046	-20.98347678	n/a
LA03	-26.6893	-4.10879	-23.00364976	n/a
LA04	-32.5267	-5.07928	-25.10328336	n/a
LA05	-38.919	-7.72522	-26.9941683	n/a
LA06	-42.7422	-9.51421	-25.5292851	n/a
LA07	-46.645	-12.7107	-28.10833528	n/a
LA08	-53.2286	-14.3084	-30.43185546	n/a
LA09	-60.4914	-13.5449	-29.48139465	n/a
LA10	-65.7579	-13.7781	-27.75535757	n/a
LA11	-70.6639	-15.2339	-26.73425177	n/a
LA12	-75.871	-15.4753	-27.08853523	n/a
LB01	-22.0178	-9.65075	-15.64734392	n/a
LB02	-27.8622	-12.2436	-14.89370926	n/a
LB03	-32.9289	-15.278	-14.68438372	n/a
LB04	-38.145	-16.9693	-14.94254342	n/a
LB05	-43.817	-18.9493	-14.51283078	n/a
LB06	-48.6618	-19.2105	-14.14541468	n/a
LB07	-54.1755	-19.3312	-13.16581019	n/a
LB08	-60.1463	-20.1704	-12.49359203	n/a
LB09	-65.021	-23.2295	-11.80255992	n/a
LB10	-69.4428	-24.8625	-10.46512981	n/a
LB11	-74.0343	-25.4635	-9.304923879	n/a
LB12	-79.2846	-26.6081	-7.219021655	n/a
LC01	-23.7146	-31.5423	-7.685799398	n/a
LC02	-28.4021	-34.9354	-8.903772834	n/a
LC03	-31.98	-37.4647	-11.60960312	n/a
LC04	-36.9967	-40.0877	-12.69196591	n/a
LC05	-41.7061	-43.5788	-15.49414644	n/a
LC06	-45.8845	-45.3805	-15.66426635	n/a
LC07	-52.2299	-44.5688	-15.44217107	n/a
LC08	-59.5511	-45.473	-14.15164069	n/a
LC09	-67.1566	-47.1689	-14.32776376	n/a
LC10	-71.3807	-48.7022	-13.79574459	n/a
LC11	-75.2619	-49.8464	-14.26573709	n/a
LC12	-80.0959	-51.5864	-13.83053029	n/a
LD01	-27.0476	11.5322	2.56871982	n/a
LD02	-33.7864	10.2591	4.763830831	n/a
LD03	-39.1402	8.43112	6.464081015	n/a
LD04	-44.1457	6.48494	10.65328878	n/a
LD05	-47.4195	4.50418	13.27863781	n/a
LD06	-51.6166	3.29684	15.76633107	n/a
LD07	-56.6091	3.31284	20.26612403	n/a
LD08	-60.7575	3.65392	23.75564112	n/a
LD09	-64.2672	3.39555	26.37374666	n/a
LD10	-67.7811	2.31126	28.76834303	n/a
LD11	-72.2101	1.73969	30.55092225	n/a
LD12	-76.1474	0.897274	33.63552097	n/a
LE01	-33.9779	-8.95427	11.74106572	n/a
LE02	-39.2176	-8.09702	14.23145737	n/a
LE03	-44.4471	-6.44324	18.07766457	n/a
