name	x	y	z	size
ACCC1	-16.062143	22.055648	21.181698	n/a
ACCC2	-17.739839	22.966506	26.046215	n/a
ACCC3	-19.94809	23.919644	30.838446	n/a
ACCC4	-21.525491	24.34437	34.682138	n/a
AMFG-A1	-30.275248	37.769954	18.951537	n/a
AMFG-A2	-35.32741	38.053038	20.279272	n/a
AMFG-A3	-40.240942	38.384843	20.617858	n/a
AMFG-A4	-45.25477	39.202779	21.977267	n/a
AMFG-B1	-29.93276	22.085047	19.238955	n/a
AMFG-B2	-34.45447	22.325946	20.638968	n/a
AMFG-B3	-38.97608	22.566851	22.038984	n/a
AMFG-B4	-43.636318	22.759035	24.42815	n/a
C3	n/a	n/a	n/a	n/a
C4	n/a	n/a	n/a	n/a
CING-A1	-21.628848	39.591676	32.38476	n/a
CING-A2	-20.261695	41.99292	35.72743	n/a
CING-P1	-19.682873	3.579896	36.951903	n/a
CING-P2	-19.845475	3.294345	41.969922	n/a
CING-P3	-19.96994	3.543586	47.019614	n/a
CING-P4	-20.094306	3.792833	52.069308	n/a
CZ	n/a	n/a	n/a	n/a
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
F3	n/a	n/a	n/a	n/a
F4	n/a	n/a	n/a	n/a
F7	n/a	n/a	n/a	n/a
F8	n/a	n/a	n/a	n/a
FP1	n/a	n/a	n/a	n/a
FP2	n/a	n/a	n/a	n/a
FZ	n/a	n/a	n/a	n/a
HIPP1	-33.564474	-21.970659	-15.788394	n/a
HIPP2	-34.248421	-25.860268	-13.04268	n/a
HIPP3	-34.440247	-30.327014	-10.256358	n/a
HIPP4	-35.124195	-34.216623	-7.510644	n/a
INS-A1	-27.876912	24.370685	5.485925	n/a
INS-A2	-28.039612	24.0851	10.503944	n/a
INS-A3	-28.202217	23.799619	15.52196	n/a
INS-A4	-28.364917	23.514033	20.539979	n/a
INS-P1	-35.320998	4.166518	0.415728	n/a
INS-P2	-34.7999	5.977915	5.632734	n/a
INS-P3	-33.609714	7.795698	9.932874	n/a
INS-P4	-33.088715	9.607087	15.149878	n/a
MTG1	-37.137408	-41.765326	-5.131231	n/a
MTG2	-42.02712	-42.989248	-5.876819	n/a
MTG3	-46.878593	-43.678422	-6.59073	n/a
MTG4	-51.199509	-44.409877	-7.232355	n/a
O1	n/a	n/a	n/a	n/a
O2	n/a	n/a	n/a	n/a
OF1	-10.409264	44.37272	-7.257358	n/a
OF2	-12.694109	44.256258	-2.528478	n/a
OF3	-14.978933	44.139797	2.200402	n/a
OF4	-16.694968	44.515903	7.033239	n/a
OFAL1	-29.834439	43.530759	3.121133	n/a
OFAL2	-29.843898	45.384476	8.265851	n/a
OFAL3	-29.753058	46.751962	12.38975	n/a
OFAL4	-30.331408	48.113107	17.430509	n/a
P3	n/a	n/a	n/a	n/a
P4	n/a	n/a	n/a	n/a
PIFG-1	-34.600644	-3.95772	18.314582	n/a
PIFG-2	-38.008395	-1.175951	21.006687	n/a
PIFG-3	-41.416041	1.605703	23.698801	n/a
PIFG-4	-44.293232	4.345112	26.463195	n/a
PZ	n/a	n/a	n/a	n/a
STG1	-47.095211	-13.122795	-3.096071	n/a
STG2	-51.224998	-12.972796	-0.634628	n/a
STG3	-55.846898	-12.24586	1.786218	n/a
STG4	-59.976685	-12.095861	4.247661	n/a
T3	n/a	n/a	n/a	n/a
T4	n/a	n/a	n/a	n/a
T5	n/a	n/a	n/a	n/a
T6	n/a	n/a	n/a	n/a
