name	x	y	z	size
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LA1	-15.115841	-7.57401	-17.960846	n/a
LA10	-55.007985	-17.330001	-13.217203	n/a
LA11	-59.60054	-18.608018	-12.537233	n/a
LA2	-19.708396	-8.852027	-17.280876	n/a
LA3	-24.688566	-10.152871	-16.589009	n/a
LA4	-28.564624	-10.381108	-16.470037	n/a
LA5	-33.157179	-11.659125	-15.790067	n/a
LA6	-37.749734	-12.937138	-15.110098	n/a
LA7	-42.350053	-13.861748	-14.176036	n/a
LA8	-46.993483	-14.489036	-14.287359	n/a
LA9	-50.803044	-16.074812	-13.885276	n/a
LB0	n/a	n/a	n/a	n/a
LB1	-31.587481	-23.382012	-19.266942	n/a
LB11	-68.817915	-54.188836	-20.985996	n/a
LB12	-72.932878	-57.861822	-20.797081	n/a
LB2	-34.985949	-26.005177	-19.639027	n/a
LB3	-39.100917	-29.678055	-19.450116	n/a
LB4	-42.879141	-32.6775	-20.064392	n/a
LB5	-46.226736	-35.951314	-19.645185	n/a
LB6	-50.01282	-38.597284	-20.005373	n/a
LB7	-53.740168	-42.247475	-19.828356	n/a
LB8	-57.130779	-45.224017	-20.45453	n/a
LB9	-61.296624	-48.24615	-21.056912	n/a
LC1	-26.948214	-30.215953	-16.936869	n/a
LC10	-54.809743	-64.53131	-9.237994	n/a
LC11	-58.157338	-67.805124	-8.818787	n/a
LC2	-29.865173	-33.76435	-15.484175	n/a
LC3	-32.825152	-37.015368	-15.076865	n/a
LC4	-36.114011	-41.293402	-14.120452	n/a
LC5	-39.023114	-45.195166	-12.921848	n/a
LC6	-42.370709	-48.46898	-12.502642	n/a
LC7	-45.667424	-52.393647	-11.29214	n/a
LC8	-48.568671	-56.648778	-10.347625	n/a
LC9	-51.520884	-60.253276	-10.194406	n/a
LD1	-32.950928	-53.222342	-16.599535	n/a
LD2	-36.678279	-56.872425	-16.42252	n/a
LD3	-40.084514	-59.142121	-16.540513	n/a
LD4	-43.412566	-61.653098	-14.313652	n/a
LD5	-47.135901	-63.8336	-11.820795	n/a
LD6	-50.495194	-64.930991	-8.577569	n/a
LD7	-53.071497	-66.336056	-5.612232	n/a
LD8	-56.372054	-68.437667	-1.831799	n/a
LE1	-31.562909	12.100943	-32.930618	n/a
LE10	-39.766537	-31.378612	-18.097824	n/a
LE11	-41.074396	-35.839839	-16.155517	n/a
LE12	-41.986783	-40.631638	-14.479196	n/a
LE2	-32.46744	6.955776	-31.508388	n/a
LE3	-33.379827	2.163978	-29.832068	n/a
LE4	-34.292214	-2.627821	-28.155747	n/a
LE5	-35.204601	-7.41963	-26.479426	n/a
LE6	-35.721609	-12.542006	-25.069095	n/a
LE7	-37.021612	-17.356621	-23.380878	n/a
LE8	-37.941763	-21.795015	-21.450465	n/a
LE9	-38.85415	-26.586814	-19.774144	n/a
LF1	-47.897559	-0.471572	2.143341	n/a
LF2	-52.13374	-0.313163	3.827779	n/a
LF3	-56.765393	0.175817	5.778202	n/a
LF4	-60.563175	-0.29373	8.242034	n/a
LF5	-64.799449	-0.135326	9.926467	n/a
LF6	-69.035635	0.023189	11.610902	n/a
LF7	-73.271909	0.181593	13.295336	n/a
LF8	-77.84483	-0.33354	15.782963	n/a
LG1	-33.516999	1.304598	-8.987661	n/a
LG10	-26.414746	10.420132	34.888029	n/a
LG11	-25.557323	11.694236	39.524928	n/a
LG12	-25.087512	12.945438	44.173726	n/a
LG2	-32.616462	2.281328	-3.305375	n/a
LG3	-32.1388	3.179269	1.089331	n/a
LG4	-31.281373	4.453266	5.726232	n/a
LG5	-30.373073	5.076624	11.154425	n/a
LG6	-29.515651	6.350728	15.791325	n/a
LG7	-28.650372	7.271464	20.174134	n/a
LG8	-28.180561	8.522666	24.822932	n/a
LG9	-26.88465	9.168926	30.239227	n/a
LH1	-32.108181	-20.095747	-5.515153	n/a
LH10	-38.274763	-18.622776	38.893024	n/a
LH11	-38.901211	-18.797517	43.860626	n/a
LH12	-39.974005	-17.99096	48.302921	n/a
LH2	-32.742485	-19.917088	-0.293462	n/a
LH3	-32.981317	-20.069001	4.662242	n/a
LH4	-33.615622	-19.890342	9.883934	n/a
LH5	-34.300708	-19.060953	14.314335	n/a
LH6	-34.935012	-18.882294	19.536026	n/a
LH7	-35.561459	-19.057035	24.503629	n/a
LH8	-36.626397	-18.603867	28.691834	n/a
LH9	-37.252844	-18.778608	33.659436	n/a
LI1	-33.746261	-68.118634	14.412245	n/a
LI2	-36.800226	-70.42164	12.982877	n/a
LI3	-40.958215	-73.797141	12.126404	n/a
LI4	-44.019942	-75.746774	10.95113	n/a
LI5	-48.170164	-79.475755	9.840567	n/a
LI6	-51.991409	-82.177821	8.180907	n/a
LI7	-55.42513	-84.857097	6.509348	n/a
LI8	-59.187736	-88.563282	5.386888	n/a
LJ1	-7.362892	24.028124	-12.259493	n/a
LJ10	-15.866603	33.53218	30.509499	n/a
LJ11	-16.559543	34.714893	35.193991	n/a
LJ12	-17.640104	35.874918	39.890378	n/a
LJ2	-8.443467	25.188041	-7.563106	n/a
LJ3	-9.911654	26.32527	-2.854823	n/a
LJ4	-10.984401	27.131818	1.587474	n/a
LJ5	-11.67737	28.31453	6.271966	n/a
LJ6	-12.757996	29.474552	10.968349	n/a
LJ7	-13.45094	30.657372	15.65284	n/a
LJ8	-14.100864	31.542814	21.382713	n/a
LJ9	-15.181421	32.702732	26.079102	n/a
LK1	-5.949393	33.138356	23.194618	n/a
LK10	-47.673492	32.126781	17.941235	n/a
LK11	-51.937071	31.875721	18.072107	n/a
LK12	-56.639236	32.252606	17.423579	n/a
LK2	-10.248263	32.831192	22.026015	n/a
LK3	-14.504099	32.226759	21.902793	n/a
LK4	-19.981399	32.557951	21.278063	n/a
LK5	-25.06332	32.558567	20.387343	n/a
LK6	-28.543905	31.999725	20.24033	n/a
LK7	-34.013442	31.977545	19.361507	n/a
LK8	-39.103126	32.331533	18.72488	n/a
LK9	-42.591571	32.126165	18.831955	n/a
LL1	-7.875842	28.148989	29.850438	n/a
LL2	-12.585779	28.879246	29.456003	n/a
LL3	-16.915903	29.985777	29.303761	n/a
LL4	-21.238308	30.738825	28.897426	n/a
LL5	-25.619258	32.495996	27.953896	n/a
LL6	-30.337042	33.579622	27.813551	n/a
LL7	-34.667213	34.68615	27.661307	n/a
LL8	-39.384996	35.769775	27.520962	n/a
LM1	-4.777694	-61.812551	16.823123	n/a
LM10	-45.491732	-63.502259	18.58052	n/a
LM11	-50.969032	-63.171066	17.95579	n/a
LM12	-55.240467	-63.068759	18.340752	n/a
LM2	-9.056966	-61.356875	17.462176	n/a
LM3	-13.723849	-60.923887	18.113124	n/a
LM4	-18.3829	-60.844375	18.509983	n/a
LM5	-22.266812	-60.719277	18.883046	n/a
LM6	-27.736257	-60.741452	18.004225	n/a
LM7	-32.37969	-61.36868	17.892901	n/a
