name	x	y	z	size
C3	n/a	n/a	n/a	n/a
C4	n/a	n/a	n/a	n/a
CZ	n/a	n/a	n/a	n/a
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
FZ	n/a	n/a	n/a	n/a
LA01	-21.2786	-1.56074	-14.47566316	n/a
LA02	-27.2778	-0.901232	-16.50370692	n/a
LA03	-33.0107	-0.652124	-19.2018643	n/a
LA04	-38.7415	-0.606236	-19.72791952	n/a
LA05	-43.2455	-0.62828	-21.53271519	n/a
LA06	-48.4015	-2.20322	-23.44825975	n/a
LA07	-54.4743	-2.77308	-26.17251272	n/a
LA08	-60.673	-2.73572	-26.11033311	n/a
LA09	-66.2332	-2.60919	-26.40042073	n/a
LA10	-70.9554	-2.16662	-27.72618469	n/a
LA11	-76.4726	-1.66899	-28.1154612	n/a
LA12	-81.5593	-2.10697	-29.04615303	n/a
LB01	-22.7361	-8.57162	-20.56252885	n/a
LB02	-28.0747	-9.84375	-19.52356689	n/a
LB03	-32.8103	-10.8533	-18.02772013	n/a
LB04	-38.4342	-12.8763	-15.54712964	n/a
LB05	-42.7256	-13.792	-13.78393311	n/a
LB06	-48.1354	-15.8391	-12.0450899	n/a
LB07	-53.728	-16.9012	-9.943687173	n/a
LB08	-58.5414	-18.467	-8.390922471	n/a
LB09	-62.7295	-18.4228	-3.883952408	n/a
LB10	-66.94	-18.1297	-1.09147129	n/a
LB11	-73.0094	-18.6391	2.019472337	n/a
LB12	-77.3907	-19.5774	5.095254238	n/a
LC01	-45.8884	-16.4	-25.0662863	n/a
LC02	-47.6471	-21.0171	-22.43812938	n/a
LC03	-49.7386	-25.2043	-18.51390072	n/a
LC04	-53.1826	-30.5497	-15.51633364	n/a
LC05	-56.3805	-36.0259	-16.96452572	n/a
LC06	-59.3807	-38.9004	-13.3553336	n/a
LC07	-61.5723	-41.0858	-8.572634916	n/a
LC08	-64.6727	-45.3109	-7.078181362	n/a
LC09	-65.643	-48.7542	-3.760264478	n/a
LC10	-67.2967	-52.5716	0.550538386	n/a
LC11	-69.4297	-56.5991	4.167220071	n/a
LC12	-70.8906	-60.6106	7.206158148	n/a
LD01	-0.0190014	-46.4471	30.91443047	n/a
LD02	-2.70406	-41.9829	32.00636517	n/a
LD03	-8.01407	-39.6736	32.60883684	n/a
LD04	-13.6936	-39.391	32.74595678	n/a
LD05	-18.3312	-39.5581	33.87926717	n/a
LD06	-23.6244	-38.9468	35.27250702	n/a
LD07	-29.0612	-37.9578	37.81062422	n/a
LD08	-33.1558	-36.8023	39.3357249	n/a
LD09	-37.6317	-35.9765	41.12370457	n/a
LD10	-41.9065	-33.859	40.25078987	n/a
LD11	-47.0734	-29.9321	39.92432783	n/a
LD12	-52.9047	-26.2353	39.39883806	n/a
LE01	-8.95676	-5.05128	44.12885547	n/a
LE02	-11.4229	-4.4947	37.90313576	n/a
LE03	-14.281	-2.99933	31.3465162	n/a
