name	x	y	z	size
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LA01	-30.8266	-34.9509	-8.897786566	n/a
LA02	-35.311	-35.9432	-9.779217168	n/a
LA03	-40.0226	-38.2181	-11.16201951	n/a
LA04	-44.7368	-40.5258	-14.05047514	n/a
LA05	-49.4207	-40.8315	-14.63527533	n/a
LA06	-55.9198	-40.1391	-14.62004132	n/a
LA07	-65.0609	-38.6781	-11.79835523	n/a
LB01	-37.9863	-67.8005	-11.07377035	n/a
LB02	-44.0287	-71.7721	-10.14107432	n/a
LB03	-48.3804	-72.9487	-10.84840014	n/a
LB04	-51.9064	-74.0524	-9.200802392	n/a
LB05	-54.8719	-74.1846	-7.602305592	n/a
LB06	-57.8821	-74.924	-7.122318205	n/a
LB08	-65.8379	-76.701	-4.911057662	n/a
LB09	-70.3716	-78.1464	-3.878635213	n/a
LB10	-74.914	-79.8601	-3.88244799	n/a
LB11	-79.5156	-81.0607	-2.940940773	n/a
LB12	-83.6311	-81.9424	-2.043296335	n/a
LC01	-39.11	-76.9057	34.44361503	n/a
LC02	-43.2162	-78.8718	33.17932893	n/a
LC03	-46.5474	-79.6342	32.26200715	n/a
LC04	-50.3126	-80.4382	32.08244887	n/a
LC05	-54.7153	-81.7449	33.44071416	n/a
LC06	-59.738	-83.2742	34.70452345	n/a
LC07	-64.7846	-85.6849	34.93692456	n/a
LC08	-68.113	-87.5107	35.1553889	n/a
LD01	-43.1289	-73.9469	26.44579273	n/a
LD02	-47.7955	-73.4466	25.92583324	n/a
LD03	-52.8496	-72.5839	26.25301858	n/a
LD04	-57.8931	-71.9537	27.66864714	n/a
LD05	-63.7498	-72.7059	27.73828297	n/a
LD06	-69.0081	-73.6022	28.85643356	n/a
LD07	-75.8336	-74.828	27.65630512	n/a
LD08	-81.7122	-76.0334	28.72188019	n/a
LE01	-39.1308	-49.9734	17.6465163	n/a
LE02	-44.0569	-53.1545	16.98740023	n/a
LE03	-50.2987	-56.3971	16.27015806	n/a
LE04	-55.6818	-57.9258	16.29716749	n/a
LE05	-60.0132	-59.5278	18.50031959	n/a
LE06	-65.0983	-60.5	18.08123261	n/a
LE07	-70.0303	-61.7043	19.72032639	n/a
LE08	-74.921	-63.3658	19.99694792	n/a
LF01	-4.31665	-38.2725	50.43598592	n/a
LF02	-7.38993	-41.5214	54.64829562	n/a
LF03	-10.7067	-44.5065	57.84461197	n/a
LF04	-12.7994	-49.1051	60.83122216	n/a
LF05	-16.897	-54.0906	64.57479671	n/a
LF06	-21.615	-57.2089	68.68583195	n/a
LF07	-26.2948	-60.1044	70.62732752	n/a
LF08	-33.046	-62.9614	73.26793331	n/a
LG01	-13.6037	-42.7559	36.86520789	n/a
LG02	-17.8247	-44.0062	37.67653003	n/a
LG03	-22.4909	-45.7959	40.57866582	n/a
LG04	-28.6295	-48.2478	41.94935975	n/a
LG05	-33.9257	-48.8294	42.70718664	n/a
LG06	-39.6407	-49.0435	41.79019031	n/a
LG07	-44.8461	-46.9691	43.10784056	n/a
LG08	-52.1343	-45.9168	44.21446832	n/a
LG09	-58.022	-47.1023	43.82567367	n/a
LG10	-62.8116	-47.9968	44.63614429	n/a
LG11	-67.7866	-48.7952	45.30504065	n/a
LG12	-73.9941	-49.29	44.82637205	n/a
LH01	-15.1027	35.7096	5.079298993	n/a
LH02	-19.9013	34.7377	5.5589777	n/a
LH03	-24.2835	33.8848	5.876432176	n/a
LH04	-29.7399	33.635	6.282551877	n/a
LH05	-33.3878	31.5037	6.617972335	n/a
LH06	-38.5169	32.6072	9.815039484	n/a
LH07	-44.6271	32.8246	12.23418826	n/a
LH08	-49.7659	31.8518	12.98124151	n/a
LH09	-55.6005	29.8408	10.89995975	n/a
LH10	-60.6047	29.0553	10.34801003	n/a
LH11	-65.6603	27.1643	9.518358307	n/a
LH12	-70.003	25.6846	8.794282835	n/a
LI01	-8.85346	38.5472	-15.84756139	n/a
LI02	-13.37	37.5678	-13.12801694	n/a
LI03	-17.7923	35.2428	-9.004215593	n/a
LI04	-22.5915	33.201	-5.473123098	n/a
LI05	-26.6957	32.4683	-1.236806487	n/a
LI06	-30.808	31.2171	1.689807841	n/a
LI07	-33.3878	31.5037	6.617972335	n/a
LI08	-34.4358	33.5915	13.22600791	n/a
LI09	-36.4917	35.2974	20.02657733	n/a
LI10	-41.4656	34.3697	25.36743158	n/a
LI11	-45.5019	32.5955	27.63090414	n/a
LI12	-49.7487	31.8243	30.77290386	n/a
RI01	14.3188	22.1013	-18.11613304	n/a
RI02	17.4463	22.5323	-14.68725194	n/a
RI03	21.3679	22.7217	-11.97821954	n/a
RI04	22.2776	23.2286	-7.110198893	n/a
RI05	22.9021	23.0438	-1.601996836	n/a
RI06	25.3382	22.8783	3.356167102	n/a
RI07	27.3825	21.4392	10.23218927	n/a
RI08	31.0833	20.3314	15.78831313	n/a
RI09	34.5964	20.318	22.40171623	n/a
RI10	37.7734	20.4909	28.14123507	n/a
RI11	39.3479	20.9949	32.88191528	n/a
RI12	42.1903	21.5112	35.90791774	n/a
