name	x	y	z	size
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LA01	-15.45	1.32604	-16.7047702076626	n/a
LA02	-21.3641	1.94518	-16.7452442009888	n/a
LA03	-26.6435	1.22738	-17.9602824516966	n/a
LA04	-32.1808	0.310502	-18.3656937746213	n/a
LA05	-37.3493	0.0960403	-19.5018242336417	n/a
LA06	-41.7179	-0.1821	-20.2588115427031	n/a
LA07	-46.1495	-0.495139	-20.1310751360981	n/a
LA08	-53.04	-1.00285	-21.2587455190923	n/a
LA09	-59.752	-1.63155	-20.5896254883485	n/a
LA10	-65.0324	-1.53834	-22.379740122266	n/a
LA11	-69.8934	-0.993261	-22.4280953797255	n/a
LA12	-74.7663	-0.612958	-23.2724856973458	n/a
LB01	-28.6529	-11.3637	-16.7040800538607	n/a
LB02	-34.1981	-13.7211	-17.2635817381886	n/a
LB03	-38.3554	-15.0779	-14.911111610531	n/a
LB04	-42.3186	-16.2637	-14.1724084783263	n/a
LB05	-46.3911	-18.051	-13.2866830170734	n/a
LB06	-51.9499	-18.8315	-11.6272298693079	n/a
LB07	-58.8243	-19.0684	-13.0234565010009	n/a
LB08	-65.9831	-19.2241	-12.0052879706661	n/a
LB09	-71.0828	-19.4256	-9.60153103007109	n/a
LB10	-75.2297	-20.3834	-8.13632439322448	n/a
LB11	-79.8148	-20.8035	-6.69086705787104	n/a
LB12	-84.8078	-21.6423	-5.21250168938261	n/a
LC01	-29.8513	-24.887	-19.0106258381468	n/a
LC02	-32.8076	-29.8926	-19.1115050282574	n/a
LC03	-35.9602	-33.791	-17.7461975382735	n/a
LC04	-39.9584	-38.3097	-17.3116007134558	n/a
LC05	-41.2601	-43.2012	-16.4488386310036	n/a
LC06	-43.9462	-47.4887	-14.8520331670124	n/a
LC07	-48.719	-50.4597	-14.3079913864575	n/a
LC08	-53.726	-53.5455	-12.2748410894773	n/a
LC09	-59.3381	-56.346	-10.1941388595431	n/a
LC10	-63.2271	-59.4571	-9.2944801123311	n/a
LC11	-65.4795	-63.1114	-8.32187604063494	n/a
LC12	-68.4882	-66.275	-7.30396096276147	n/a
LD01	-36.5122	12.972	-3.45779649759437	n/a
LD02	-42.7738	15.4919	-1.94723409868857	n/a
LD03	-49.7406	18.5083	1.54928574539108	n/a
LD04	-55.6548	21.7752	4.33219462382133	n/a
LD05	-59.5256	22.4102	5.19131120806362	n/a
LD06	-63.3385	23.161	6.14470727745302	n/a
LD07	-66.7759	24.1825	7.55943378388069	n/a
LD08	-70.7241	25.9517	9.23978572072756	n/a
LE01	-8.69108	37.5479	0.50434578754806	n/a
LE02	-15.9031	35.6761	0.446243161273997	n/a
LE03	-22.2254	35.8726	-1.27608530346671	n/a
LE04	-28.9705	34.9878	-2.83935915668102	n/a
LE05	-37.4128	32.7758	-1.86499347812892	n/a
LE06	-45.3566	31.9737	-0.812597558431901	n/a
LE07	-50.3024	32.6575	-1.05547195054843	n/a
LE08	-54.1262	33.5774	-3.53750035837154	n/a
LE09	-58.1521	34.8498	-3.52229740928352	n/a
LE10	-62.1753	34.7801	-4.20858585857871	n/a
LE11	-66.3108	35.0029	-3.92941767523288	n/a
LE12	-70.9184	35.2571	-3.75634745117126	n/a
LF01	-4.22677	-56.9502	24.6322258411476	n/a
LF02	-9.21677	-56.6003	25.419770377586	n/a
LF03	-15.2159	-55.4809	24.0662881761243	n/a
LF04	-22.6773	-55.1444	23.3830618666019	n/a
LF05	-27.5015	-55.7083	22.5363844185361	n/a
LF06	-31.1733	-55.4959	22.6786715303766	n/a
LF07	-34.8659	-54.3154	22.0286571298736	n/a
LF08	-39.407	-52.9139	21.7179233419726	n/a
LF09	-45.9379	-52.4605	21.4496262338043	n/a
LF10	-52.0734	-52.8485	20.5600662882167	n/a
LF11	-58.0566	-52.562	20.6250026239035	n/a
LF12	-63.5808	-50.034	19.7715262069659	n/a
LG01	-14.5354	39.9827	-21.7394605903196	n/a
LG02	-16.2956	38.2463	-16.0018886374303	n/a
LG03	-18.6185	36.2052	-10.5883400286269	n/a
LG04	-22.4786	34.597	-5.72905697141775	n/a
LG05	-26.1193	33.4493	-2.5544177649761	n/a
LG06	-29.5793	32.3757	1.84582367326097	n/a
LG07	-31.1713	33.2139	6.51493483709537	n/a
LG08	-30.8379	36.1786	11.8537210086847	n/a
LG09	-30.8184	40.8207	18.1801832684969	n/a
LG10	-31.5384	40.1067	21.9723952692156	n/a
LG11	-31.8218	38.1022	27.9841129491615	n/a
LG12	-32.9662	35.1104	35.2079166224608	n/a
RA01	21.1097	-0.559986	-15.617366608403	n/a
RA02	26.0933	-0.731795	-16.225738907781	n/a
RA03	31.7675	-1.98501	-17.5708559955439	n/a
RA04	36.5034	-3.00228	-18.1715323324827	n/a
RA05	41.1047	-3.85699	-18.7068081534323	n/a
RA06	46.8833	-3.97267	-21.2114523689225	n/a
RA07	54.3761	-4.23993	-21.7237792538686	n/a
RA08	61.3889	-4.72876	-22.2834118670789	n/a
RA09	66.8925	-4.59929	-23.0950936388928	n/a
RA10	71.1433	-5.04741	-23.4705021802617	n/a
RA11	76.3916	-4.95032	-24.9431854736817	n/a
RB01	29.2361	-15.7846	-24.3340498967404	n/a
RB02	33.2105	-17.5201	-23.3205407283903	n/a
RB03	38.7481	-17.6963	-20.2954482486819	n/a
RB04	43.4137	-19.1904	-19.6786412668154	n/a
RB05	49.0147	-20.8808	-17.7986420210153	n/a
RB06	56.3053	-21.1062	-13.6227735824465	n/a
RB07	62.0108	-22.7552	-12.6860821873546	n/a
RB08	67.7014	-24.3894	-12.6629092411543	n/a
RB09	72.4863	-26.1755	-11.790250559111	n/a
RB10	77.1547	-28.1408	-10.8145516645544	n/a
RB11	82.3972	-30.2924	-9.68067473871511	n/a
RC01	33.3024	-18.1091	-14.1047470512558	n/a
RC02	36.594	-22.1568	-11.3349790421947	n/a
RC03	40.329	-25.3518	-8.78528377512159	n/a
RC04	45.2319	-29.5851	-6.94152050574661	n/a
RC05	48.7686	-34.1361	-7.8690282619323	n/a
RC06	53.5847	-38.0511	-10.4032119393576	n/a
RC07	56.4959	-40.1254	-8.53566148166905	n/a
RC08	59.9358	-43.5865	-2.91728788301931	n/a
RC09	66.1277	-49.7619	-3.63454299600459	n/a
RC10	68.6793	-54.5259	-3.33653408820528	n/a
RD01	36.3012	14.9379	7.87274830324993	n/a
RD02	42.2881	16.204	10.1116283313923	n/a
RD03	47.3489	18.0952	11.8433760862451	n/a
RD04	53.4112	19.7064	10.8500968969393	n/a
RD05	59.8353	20.9002	8.55501283383542	n/a
RD06	63.7972	22.1067	7.52696445669641	n/a
RD07	67.9426	22.5799	6.94282938347718	n/a
RD08	73.0011	24.2812	6.76341425721491	n/a
RD09	77.6254	24.7865	6.39952927189966	n/a
RD10	80.7711	25.0393	5.81438525259003	n/a
RD11	83.3049	25.2141	6.24252674775593	n/a
