name	x	y	z	size
EKG1	n/a	n/a	n/a	n/a
EKG2	n/a	n/a	n/a	n/a
LDA1	-12.2057	-3.59433	-19.02826921	n/a
LDA2	-17.3969	-4.75213	-18.74884082	n/a
LDA3	-22.7117	-5.21004	-18.08143458	n/a
LDA4	-27.7155	-7.03961	-19.43044674	n/a
LDA5	-33.8417	-7.25583	-20.56797431	n/a
LDA6	-40.1081	-9.58972	-22.63972789	n/a
LDA7	-43.1792	-8.64876	-20.54508207	n/a
LDA8	-47.9172	-8.83192	-22.1463383	n/a
LDB1	-13.4008	-8.2041	-16.25470022	n/a
LDB2	-18.2125	-10.8103	-14.99746607	n/a
LDB3	-24.5468	-12.0828	-16.32138837	n/a
LDB4	-29.5556	-14.2817	-17.24442359	n/a
LDB5	-35.1574	-15.0163	-19.43342755	n/a
LDB6	-40.595	-15.1365	-20.93847977	n/a
LDB7	-43.4451	-13.2067	-18.9533805	n/a
LDB8	-48.0856	-15.3099	-21.7578426	n/a
LDC1	-25.2142	-26.2606	-11.114711	n/a
LDC2	-30.0963	-27.321	-12.4825647	n/a
LDC3	-34.5788	-28.1445	-14.53483557	n/a
LDC5	-42.8622	-25.6386	-13.32697411	n/a
LDC6	-47.7535	-24.8606	-13.8668243	n/a
LDC7	-54.3775	-25.8776	-13.22247254	n/a
LDC8	-61.4237	-27.8597	-12.84711283	n/a
LDD2	-24.041	-37.9919	33.00301938	n/a
LDD3	-29.5957	-38.3908	30.21197023	n/a
LDD4	-33.6009	-37.5513	27.65313796	n/a
LDD5	-39.4272	-39.7953	25.00564179	n/a
LDD6	-45.0445	-39.5074	22.54448284	n/a
LDD7	-51.0718	-38.1218	21.85539945	n/a
LDD8	-55.9884	-35.6985	23.82725528	n/a
LDE1	-28.3277	-18.0827	10.14292509	n/a
LDE10	-58.6326	-6.0779	28.04719791	n/a
LDE11	-54.7216	-6.53955	32.25978316	n/a
LDE12	-55.031	-9.49426	36.33860482	n/a
LDE2	-33.2449	-17.3531	11.61375943	n/a
LDE3	-37.5403	-16.3597	12.50928853	n/a
LDE4	-43.6484	-15.0082	12.09107357	n/a
LDE5	-49.884	-12.538	9.7413986	n/a
LDE6	-56.0884	-12.4098	9.056115132	n/a
LDE7	-62.6001	-13.079	11.39850512	n/a
LDE8	-64.326	-11.4447	16.20160083	n/a
LDE9	-61.6696	-9.64777	22.03861965	n/a
LDF1	-28.4197	-2.0643	7.894112989	n/a
LDF10	-56.7107	-3.12502	25.92170561	n/a
LDF11	-55.1279	-0.829378	30.24723258	n/a
LDF12	-54.5848	-5.18942	35.06690713	n/a
LDF2	-34.5872	-0.632848	7.376011703	n/a
LDF3	-40.9881	0.279424	7.652964648	n/a
LDF4	-46.9011	-0.061862	6.763473856	n/a
LDF5	-52.7479	0.174029	6.653049826	n/a
LDF6	-57.7814	0.357792	9.272555759	n/a
LDF7	-62.6246	1.24386	13.03949884	n/a
LDF8	-62.6498	0.606387	17.67047343	n/a
LDF9	-59.8714	-2.7672	22.26176092	n/a
LDG1	-38.536	12.2761	1.825397591	n/a
LDG10	-52.1816	8.66393	36.58233725	n/a
LDG11	-49.2997	8.5776	40.72187797	n/a
LDG12	-47.242	6.26962	44.75220061	n/a
LDG2	-43.8259	10.9931	2.115722047	n/a
LDG3	-50.5198	12.1348	2.385394005	n/a
LDG4	-56.35	12.1265	3.047333761	n/a
LDG5	-58.7403	11.0493	5.691313449	n/a
LDG6	-61.1653	10.218	11.22586104	n/a
LDG7	-61.7202	9.56431	17.23554927	n/a
LDG8	-60.6439	7.36869	23.88750509	n/a
LDG9	-56.5839	7.17335	32.55506113	n/a
LGR17	-40.0259	28.8992	39.08449593	n/a
LGR18	-41.5114	19.6318	41.58087476	n/a
LGR19	-42.911	11.1456	45.31234674	n/a
LGR20	-45.5226	-2.06948	49.51890809	n/a
LGR21	-45.9554	-12.427	49.37649748	n/a
LGR22	-43.0224	-20.4321	53.41243196	n/a
LGR23	-41.4596	-30.5464	54.76123785	n/a
LGR24	-38.9107	-42.6192	55.76671569	n/a
LGR25	-47.3924	28.1354	31.38195405	n/a
LGR26	-47.793	21.2035	35.40019695	n/a
LGR27	-48.2385	12.71	38.86664504	n/a
LGR28	-49.7701	-1.05289	41.83873678	n/a
LGR29	-53.2219	-10.3974	38.34678643	n/a
LGR30	-51.8986	-20.897	40.57523068	n/a
LGR31	-46.743	-28.372	42.82180317	n/a
LGR32	-41.3618	-38.8256	48.56999394	n/a
LGR33	-57.7407	24.4482	14.9881161	n/a
LGR34	-57.4044	14.9192	22.26589231	n/a
LGR35	-56.9153	6.83578	29.59382083	n/a
LGR36	-52.3326	2.40046	31.40068349	n/a
LGR37	-55.5676	-5.61031	31.3473282	n/a
LGR38	-56.5836	-19.3205	33.11087688	n/a
LGR39	-51.4707	-27.3181	34.6786718	n/a
LGR40	-43.9663	-38.6862	44.57378572	n/a
LGR41	-59.5048	21.5348	6.119400626	n/a
LGR42	-58.4581	11.154	9.497220211	n/a
LGR43	-60.8296	5.06403	15.83142063	n/a
LGR44	-59.4479	-1.65712	21.56244211	n/a
LGR45	-61.2257	-10.362	19.71662781	n/a
LGR46	-60.7972	-21.0939	21.74425673	n/a
LGR47	-54.9918	-30.4654	26.05873919	n/a
LGR48	-47.5947	-42.276	31.48503403	n/a
LGR49	-53.5974	15.9573	-6.729026229	n/a
LGR50	-59.207	8.95962	-2.81815855	n/a
LGR51	-64.1265	2.77117	4.26790552	n/a
LGR52	-63.8969	-4.05398	9.57875979	n/a
LGR53	-63.3747	-17.3306	6.652541617	n/a
LGR54	-61.8678	-28.9597	5.338239927	n/a
LGR55	-56.4516	-39.1313	11.25248494	n/a
LGR56	-51.9363	-51.5015	16.49893525	n/a
LGR57	-55.6112	17.7794	-13.76114666	n/a
LGR58	-59.0462	7.11212	-11.53375044	n/a
LGR59	-60.5007	-2.16579	-6.339459901	n/a
LGR60	-61.5848	-10.8821	-4.894062423	n/a
LGR61	-61.9819	-20.6537	-2.189678136	n/a
LGR62	-63.4591	-32.4883	-4.233065934	n/a
LGR63	-59.0702	-41.5491	1.762647502	n/a
LGR64	-55.5871	-54.7603	4.731986713	n/a
